"CarPark","Address","Location_Lat","Location_Lng","WeekDays_Rate_1","WeekDays_Rate_2","Saturday_Rate","Sunday_PublicHoliday_Rate","Lot_Avail_ID"
"Paragon Shopping Centre","290 Orchard Rd, Singapore 238859",1.3036434,103.8357434,"3am-5.59pm: $2.58 for 1st hr; $1.48 for sub. ½ hr. Daily $2 surcharge from 9am-9pm.  Additional Peak Hr Surcharge of $1.28 from 12pm to 2:30pm daily.","Aft 6pm: $3.48 per entry. Daily $2 surcharge from 9am-9pm.","Same as wkdays","3am-5.59pm: $3.48 for 1st 2hrs; $0.05 for sub. mins. Aft 6pm: $3.48 per entry. Daily $2 surcharge from 9am-9pm.  Additional Peak Hr Surcharge of $1.28 from 12pm to 2:30pm daily.","-"
"Penang Road Off-Street","Penang Rd, Singapore",1.298794,103.8438609,"$1.00 / 30 mins (Per Minute Charging)","$0.50 / 30 mins (Per Minute Charging)","0700-1700 : $1.00 / per 30 mins. 1700-0700: $0.50 / per 30 mins (Per Minute Charging)","$0.50 / 30 mins (Per Minute Charging)","-"
"Plaza Singapura","68 Orchard Road, Singapore 238839",1.3006329,103.8449403,"Mon-Thu:$1.07 for 1st hr; $0.32 for sub. 15mins.  Fri & Eve of PH: $2.14 for 1st 2 hr; $0.32 for sub. 15mins.","Mon-Thu: 6pm-11.59pm: $2.14 per entry; Fri & Eve of PH: 6pm-2.59am: $2.14 per entry","3am-5.59pm: $2.14 for 1st 2hrs; $0.32 for sub. 15mins; Aft 6pm: $2.14 per entry","3am-5.59pm: $2.14 for 1st 2hrs; $0.32 for sub. 15mins. 6pm-11.59pm: $2.14 per entry","-"
"Regent Hotel","1 Cuscaden Rd, Singapore 249715",1.3046611,103.824931,"7am-6pm: $5 for 1st hr; $2.50 for sub. ½ hr","Aft 6pm: $6 per entry","Same as wkdays","Same as wkdays","-"
"Regent Hotel","1 Cuscaden Rd, Singapore 249715",1.3046611,103.824931,"7am-6pm: $5 for 1st hr; $2.50 for sub. ½ hr","Aft 6pm: $6 per entry","Same as wkdays","Same as wkdays","-"
"Royal Plaza On Scotts","25 Scotts Rd, Singapore 228220",1.307143,103.832508,"8am-6pm: $4 for 1st hr; $1.50 for sub. ½ hr","Aft 6pm: $5.50 per entry","Same as wkdays","$5.50 per entry","-"
"Royal Plaza On Scotts","25 Scotts Rd, Singapore 228220",1.307143,103.832508,"8am-6pm: $4 for 1st hr; $1.50 for sub. ½ hr","Aft 6pm: $5.50 per entry","Same as wkdays","$5.50 per entry","-"
"Scape","2 Orchard Link, Singapore 237978",1.30104,103.835752,"7am-4.59pm: $1.95 per hr","5pm-6.59am: $4.90 for 1st 3hrs; $1.95 for sub. hr","All day: $1.95 per hr or part thereof.","""7am-4.59pm: $1.95 per hr, 5pm-6.59am: $4.90 for 1st 3hrs; $1.95 for sub. hr.""","-"
"Shangri-la Hotel","22 Orange Grove Rd, Singapore 258350",1.3108046,103.8267982,"7am-5pm: $6 for 1st hr; $2 for sub. ½ hr","Aft 5pm: $8 per entry","Same as wkdays","Same as wkdays","-"
"Shangri-la Hotel","22 Orange Grove Rd, Singapore 258350",1.3108046,103.8267982,"7am-5pm: $6 for 1st hr; $2 for sub. ½ hr","Aft 5pm: $8 per entry","Same as wkdays","Same as wkdays","-"
"Shaw Centre","1 Scotts Rd, Singapore 228208",1.3061991,103.8318577,"3.01am-6pm: $2 for 1st hr; $1.50 for sub. ½ hr","6.01pm-3.01am: $4 per entry","Same as wkdays","Same as wkdays","-"
"Shaw House","350 Orchard Road, 5th/6th Floor, Shaw House, Singapore 238868",1.3055124,103.8317552,"3.01am-6pm: $2 for 1st hr; $1.50 for sub. ½ hr","6.01pm-3.01am: $4 per entry","Same as wkdays","Same as wkdays","-"
"Sheraton Towers Singapore","39 Scotts Rd, Singapore 228230",1.3118244,103.8364761,"7am-6pm: $4 for 1st hr; $2 for sub. ½ hr","Aft 6pm: $6 per entry","Same as wkdays","$6 per entry","-"
"Singapore Marriott Hotel","320 Orchard Rd, Singapore 238865",1.305104,103.832837,"6am-6pm: $0.05 per min/$3 per hr","Aft 6pm: $0.05 per min/$3 per hr","Same as wkdays","Same as wkdays","-"
"Singapore Marriott Hotel","320 Orchard Rd, Singapore 238865",1.305104,103.832837,"6am-6pm: $0.05 per min/$3 per hr","Aft 6pm: $0.05 per min","Same as wkdays","Same as wkdays","-"
"Singapore Shopping Centre","190 Clemenceau Ave, Singapore 239924",1.298146,103.8441579,"8am-8pm: $2.50 for 1st hr; $1.25 for sub. ½ hr","Aft 8pm: $3 per entry","Same as wkdays","Same as wkdays","-"
"Starhub Centre","68 Orchard Road, #01-36 Plaza Singapura, Singapore 238839",1.3006139,103.8451045,"7am-6pm: $2 for 1st hr; $1.50 for sub. ½ hr","""6pm-7am the following day:$2.00 for 1st hr, $1.50 for next subq 1/2hr""","Same as wkdays","Same as wkdays","-"
"Tanglin Mall","163 Tanglin Rd, Singapore 247933",1.3047764,103.8234034,"6am-5pm: $2.40 for 1st hr; $1.20 for sub. ½ hr","Aft 5pm: $3.50 per entry","""Charges same as wkdays, but $3.50 per entry after 1pm""","$3.50 per entry","-"
"Tanglin Shopping Centre","19 Tanglin Rd, Singapore 247909",1.3062726,103.8266803,"8am-5.59pm: $3 for 1st hr; $1.75 for sub. ½ hr","Aft 6pm: $3.60 per entry","Same as wkdays","$3.60 per entry","-"
"Tangs","310 Orchard Rd, Singapore 238864",1.3050505,103.8330708,"""6am-6pm: $3 for 1st hr, $0.05/min""","6pm-6am the following day: $6 Per entry","Same as wkdays","Same as wkdays","-"
"The Cathay","Levels 5 & 6, The Cathay, 2 Handy Rd, Singapore 229233",1.299414,103.847644,"8am-9:59am: $1.40 for ½ hr; 10am-9:59pm: $1.40 per hr","Aft 10pm: $3 per entry","8am-9:59pm: $1.40 per hr; Aft 10pm: $3 per entry","Same as Saturday","-"
"The Centrepoint","176 Orchard Road, Singapore 238843",1.3021552,103.8397579,"7am-5pm: $2 for 1st hr; $1.50 sub. ½ hr","Aft 5pm: $2 for 1st hr; $1.50 sub. hr","Same as wkdays","$2 for 1st hr; $1.50 for sub. hr","-"
"The Heeren","260 Orchard Rd, Singapore 238855",1.3025117,103.837112,"8am-11pm: $1.50 per ½ hr","8am-11pm: $1.50 per ½ hr","8am-11pm: $5 for 1st 3 hrs and $1.50 for subseqent ½ hr","Same as Saturday","-"
"Traders Hotel","1A Cuscaden Rd, Singapore 249716",1.3042551,103.8239686,"6am-5pm: $2.40 for 1st hr; $1.20 for sub. ½ hr","Aft 5pm: $3.50 per entry","""Charges same as wkdays, but $3.50 per entry after 1pm""","$3.50 per entry","-"
"Traders Hotel","1A Cuscaden Rd, Singapore 249716",1.3042551,103.8239686,"6am-5pm: $2.40 for 1st hr; $1.20 for sub. ½ hr","Aft 5pm: $3.50 per entry","""Charges same as wkdays, but $3.50 per entry after 1pm""","$3.50 per entry","-"
"Wheelock Place","501 Orchard Rd, Singapore 238880",1.3048265,103.8307228,"8am-6pm: $3 for 1st hr; $1.50 for sub. ½ hr","Aft 6pm: $4.50 per entry","Same as wkdays","Same as wkdays","-"
"Winsland House","3 Killiney Rd, Singapore 239519",1.2995873,103.8402436,"7am-7pm: $2.50 for 1st hr; $1.20 for sub. ½ hr","7pm-11pm: $3.50 per entry. Aft 11pm: $3.50 per entry","Same as wkdays","7am-11pm: $4.50 per entry. Aft 11pm: $3.50 per entry","-"
"Wisma Atria","435 Orchard Road, Singapore 238877",1.303841,103.8330524,"7am-5pm: $2.40 for 1st hr; $1.20 for sub. ½ hr (Lunch Hr Surcharge of additional $1.07 between 12pm - 2pm)","Aft 5pm: $3.50 per entry","$3.60 for 1st 2hrs; $0.80 for sub. ½ hr","Same as Saturday","-"
"York Hotel","21 Mount Elizabeth, Singapore 228516",1.3073054,103.835584,"8.01am-6pm: $4 for 1st hr; $2 for sub. ½ hr","Aft 6pm: $5 per entry","Same as wkdays","$5 per entry","-"
"York Hotel","21 Mount Elizabeth, Singapore 228516",1.3073054,103.835584,"8.01am-6pm: $4 for 1st hr; $2 for sub. ½ hr","Aft 6pm: $5 per entry","Same as wkdays","$5 per entry","-"
"Changi Chapel and Museum (The Changi Museum)","1000 Upper Changi Rd N, Singapore 507707",1.3621204,103.9740344,"Free daily","-","-","-","-"
"Chinatown Heritage Centre","48 Pagoda St, Singapore 059207",1.2835085,103.8443515,"""Parking is available at the public car park adjacent to the Buddha Tooth Relic Temple, URA centre and People's Park Centre.""","-","-","-","-"
"Chinese Garden","1 Chinese Garden Rd, Chinese Garden, Singapore 619795",1.3389865,103.7297532,"6am-6pm: Free 1st hr; $0.50 for sub. ½ hr","Aft 6pm: $0.50 per ½ hr","Same as wkdays","Same as wkdays","-"
"Haw Par Villa","262 Pasir Panjang Road, Singapore 118628",1.2835657,103.7816432,"Daily(9am-7pm): $5 per entry (Car park closed after 7pm)","-","-","-","-"
"Hay Dairies Goat Farm","3 Lim Chu Kang Lane 4, Singapore 718859",1.431605,103.7099001,"Free daily: 9am-4pm","-","-","-","-"
"Jurong Bird Park","2 Jurong Hill, Jurong Bird Park, Singapore 628925",1.3187065,103.7064417,"Daily(8am-5pm): $2 per entry","-","-","-","-"
"Labrador Secret Tunnel ( Labrador Park )","Labrador Villa Road, Labrador Nature Reserve, Singapore 119187",1.2674872,103.801682,"Free daily","-","-","-","-"
"Mandai Orchid Garden","Mandai Lake Rd, Singapore",1.4071116,103.7845357,"Free daily","-","-","-","-"
"Memories at Old Ford Factory","351 Upper Bukit Timah Rd, Singapore 588192",1.352549,103.769295,"Daily free parking at Carparks C and D","-","-","-","-"
"Mount Faber (Jewel Box)","Mount Faber Rd, Mount Faber Park, Singapore",1.2737864,103.8174964,"Limited public parking spaces availiable. Valet parking at The Jewel Box is available at $5 per car","-","-","-","-"
"National Museum of Singapore","93 Stamford Road, Singapore 178897",1.2966375,103.8486646,"""Limited parking facility is available at the National Museum. Other parking facilities are available at YMCA, Singapore Management University and Fort Canning Park""","-","-","-","-"
"Reflections at Bukit Chandu","31 - K Pepys Road, Singapore 118458",1.2796745,103.7942321,"Daily free parking at Carparks C and D of Pepys Road","-","-","-","-"
"Resorts World Sentosa - Universal Studios Singapore (RWS B1 car park)","8 Sentosa Gateway, Singapore 098269",1.2540421,103.8238084,"Mon-Thu: 7am-7pm: $7 for 1st hr; $1 for sub. ½ hr or part thereof. (Max: $28 per 24 hrs)","Aft 7pm: $6 per entry","Fri/Sat-Sun/PH: 7am-7pm: $8 for 1st hr; $2 for sub. ½ hr or part thereof.  Aft 7pm: $8 per entry (Max: $28 per 24 hrs)","Same as Saturday","-"
"Sentosa (Beach and Imbiah car park)","Sentosa Island, Singapore",1.2533806,103.8174611,"""7am-5pm: Island Entry: $6 per car*; Parking - $3 for 1st 4hrs; $1 for sub. hr. Except 12pm-2pm: Island Entry $2 per car*, free parking. *Rates covers all passengers in car""","5.01pm-6.59am: Island entry: $2 per car*; parking - $1 per entry","7am-5pm: Island entry: $7 per car*; Parking - $5 for 1st 4 hrs; $2 for sub. hr; 5.01pm-6.59am: $3 per car*; parking - $2 per entry","Same as Saturday","-"
"Sentosa (Tanjong & Palawan car park)","120 Tanjong Beach Walk, Sentosa Island, Singapore 098942",1.243299,103.828128,"""7am-5pm: Island Entry: $6 per car*; Parking - $3 for 1st 8hrs; $1 for sub. hr. Except 12pm-2pm: Island Entry $2 per car*, free parking. *Rates covers all passengers in car""","5.01pm-6.59am: Island entry: $2 per car*; parking - $1 per entry","7am-5pm: Island entry: $7 per car*; Parking - $3 for 1st 8hrs; $1 for sub. hr; 5.01pm-6.59am: $3 per car*; parking - $1 per entry","Same as Saturday","-"
"Singapore Art Museum","71 Bras Basah Rd, Singapore 189555",1.2973072,103.8510615,"""Parking at SAM reserved for cars with NHB parking labels.  Nearest Carparks available at Waterloo Street, Queen Street, NTUC Income Centre, Plaza by the Park and Singapore Management University.""","-","-","-","-"
"Singapore Botanic Gardens","1 Cluny Rd, Singapore Botanic Gardens, Singapore 259569",1.3138397,103.8159136,"7am-10.30pm: $0.02 per min (8am-9am: $1 peak hr charge for all passing vehicles that enter from Kheam Hock Road and exit at Evans/Cluny Road) - Closed from 12am-5am daily","7pm-10.30pm: $2 per maximum cap","Same as wkdays","Same as wkdays","-"
"Singapore City Gallery (URA centre)","45 Maxwell Rd, The URA Centre, Singapore 069118",1.2794989,103.8453538,"6am-10pm: $1.10 per ½ hr (per min charging) Public parking is also available at the Erskine Road Off-Street Carpark next to Maxwell Road Food Centre.","10pm-6am: $3 per entry","Same as wkdays","6am-10pm: $0.55 per ½ hr (per min charging); Aft 10pm: $3 per entry","-"
"Singapore Flyer","30 Raffles Ave, Singapore 039803",1.2892988,103.8631368,"6am-6pm: $2 per hr or part thereof. Free Lunchtime Parking from 12pm to 2pm (only valid for vehicles entering the multi-storey carpark after 12pm).","6pm-6am:$2 per entry.","6am-12midnight: $2 per hr or part thereof. 12midnight- 6am: $2 per entry.","Same as Saturday","-"
"Singapore Mint Coin Gallery","20 Teban Gardens Cres, Singapore 608928",1.3254139,103.7395299,"Wkdays free: 8.30am-4.30pm","-","-","-","-"
"Singapore Philatelic Museum","23-B Coleman Street, Singapore 179807",1.2928447,103.8487025,"URA coupon parking. Nearest car park at Armenian Street between Bible House and Peranakan Museum","-","-","-","-"
"Singapore Science centre/Singapore Discovery Centre / Snow City","21 Jurong Town Hall Rd, Singapore 609433",1.3351431,103.7351617,"Daily: $0.50 per ½ hour","-","-","-","-"
"Singapore Turf Club (STC)","80 Eu Tong Sen St, Singapore 059810",1.284591,103.843259,"Daily: $5 per entry","-","-","-","-"
"Singapore Zoological gardens/Night Safari","80 Mandai Lake Rd, Night Safari, Singapore 729826",1.4021872,103.7880606,"Daily: $3 for 1st hr; $2 sub. hr or part thereof. 4th hour onwards: $8.00 flat rate (maximum)","-","-","-","-"
"Sungei Buloh Wetland Reserve","301 Neo Tiew Cres, Sungei Buloh Wetland Reserve, Singapore 718925",1.4467195,103.7301489,"Daily free: 7am-7pm","-","-","-","-"
"The Arts House (Park at New Parliament House)","1 Old Parliament Lane, Singapore 179429",1.2886418,103.8510571,"""Available at current Parliament House, The Adelphi and the road side along Empress Place""","-","-","-","-"
"The Battle Box ( Park at Fort Canning","2 Cox Terrace, Singapore 179622",1.2961046,103.8462174,"URA coupon parking","-","-","-","-"
"Underwater World Singapore","80 Siloso Road, Sentosa, Singapore 098969",1.258183,103.811225,"Mon-Thu: 7am-11.59pm: $7.50 for 1st 3 hrs; $5 per hr or part thereof","Mon-Thu: 12am-06.59am: $20 per entry","Fri-Sun incl. PH & Sch Holidays:7am-11.59pm: $9 for 1st 3 hrs; $5 per hr or part thereof. 12am-06.59am: $20 per entry","Fri-Sun incl. PH & Sch Holidays:7am-11.59pm: $9 for 1st 3 hrs; $5 per hr or part thereof. 12am-06.59am: $20 per entry","-"
"10 Raeburn Park","10 Raeburn Park, Singapore 088702",1.2737343,103.833193,"$1.07 per hr","""1700-2300:- $2.14 per entry, 2300-0800: $1.07 per hr""","""0800-1700: $1.07 per hr, 1700-2300: $2.14 per entry, 2300-0800: $1.07 per hr""","$1.07 per hr","-"
"1557 Keppel Road","1557 Keppel Rd, Singapore 089066",1.2730833,103.8406381,"""0700-1900:$1.29 for 1st hr, $0.43 /15 mins thereafter""","1900-0700: $2.14 /Entry","""0700-1300:-$1.29 for 1st hr, $0.43 per 15 mins thereafter; 1300-0700: $2.14 /Entry""","$2.14 / Entry","-"
"34 Boon Leat Terrace","34 Boon Leat Terrace, Singapore 119866",1.2762877,103.7971727,"$0.80 / 30 mins","1800-2200: $2.50 per entry. 2200-0700: $4.00 per entry","0700-1300: $0.80 /30 mins. 1300-0700: $4.00 /entry","$4.00 / entry","-"
"798 Upper Bukit Timah Road","798 Upper Bukit Timah Rd, Singapore 678138",1.3735059,103.763909,"0000-0700: $2.14 /30 mins. 0700-0000: $1.07 /30 mins.","-","-","-","-"
"798 Upper Bukit Timah Road","798 Upper Bukit Timah Rd, Singapore 678138",1.3735059,103.763909,"0000-0700: $2.14 /30 mins. 0700-0000: $1.07 /30 mins.","-","-","-","-"
"8 Shenton Way","8 Shenton Way, AXA Tower, Singapore 068811",1.2761294,103.8474403,"7am-6pm: $2.30 per ½ hr","Aft 6pm: $2.80 per entry","Charges same as wkdays but $2.80 per entry after 1pm","$2.80 per entry","-"
"Amara Hotel","165 Tg Pagar Rd, Singapore 088539",1.2753354,103.8435764,"8am-4.59pm: $2 per ½ hr","5pm-7.59am (the following day) : $3 per entry","Same as wkdays","$3 per entry","-"
"Amara Hotel","165 Tg Pagar Rd, Singapore 088539",1.2753354,103.8435764,"8am-4.59pm: $2 per ½ hr","5pm-7.59am (the following day) : $3 per entry","Same as wkdays","$3 per entry","-"
"Asia Square","8 Marina View, Singapore 018960",1.2787601,103.8515975,"7am-5.59pm: $0.08 per min","6pm onwards: $3 per entry","7am-6.59am (next day): $3 per entry","Same as Saturday","-"
"Bangkok Bank Building","Singapore",1.2792514,103.8477219,"7am-7pm: $2 for 1st ½ hr; $4 for sub. hr","7am-7pm: $2 for 1st ½ hr; $4 for sub. hr","Charges same as wkdays but Closed at 3pm","Closed","-"
"Bayfront Avenue","Bayfront Ave, Singapore",1.2820883,103.8591431,"7am-6pm: $3 per hr","Aft 6pm: $1.20 per hr","7am-1pm: $3 per hr. Aft 1pm: $1.20 per hr","$1.20 per hr","-"
"Berjaya Hotel","88, Jalan Ibrahim Sultan, Kampung Stulang Laut, 80300 Johor Bahru, Johor, Malaysia",1.470764,103.783233,"8.30am-5pm: $1 per ½ hr","5pm-10pm: $1 per hr; Aft 10pm: Free","Same as wkdays","8.30am-10pm: $1 per hr. Aft 10pm: Free","-"
"Berjaya Hotel","88, Jalan Ibrahim Sultan, Kampung Stulang Laut, 80300 Johor Bahru, Johor, Malaysia",1.470764,103.783233,"8.30am-5pm: $1 per ½ hr","5pm-10pm: $1 per hr; Aft 10pm: Free","Same as wkdays","8.30am-10pm: $1 per hr. Aft 10pm: Free","-"
"Bugis Junction","200 Victoria St, Singapore 188021",1.2993425,103.8555354,"8am-5pm: $1.07 for 1st hr; $0.37 for sub. 10mins","Mon-Thu: Aft 5pm: $2.50 per entry. Fri: $2.50 for 1st 2hrs; $0.37 for sub. 10 mins","$2.50 for 1st 2hrs; $0.37 for sub. 10 mins","Same as Saturday","-"
"Burlington Square","175 Bencoolen Street, Singapore 189649",1.3023079,103.8528753,"7am-5pm: $0.04 per min","Aft 5pm: $2.20 per entry","$0.06 per min","Same as Saturday","-"
"CapitaCommercial Trust (CCT)","1 Robinson Rd, Singapore 068911",1.2819389,103.8511317,"$2.05 per ½ hr","Aft 5pm: $3.10 per ½","Charges same as wkdays but $3.10 per ½ hr after 1pm","$3.10 per ½ hr","-"
"Capital Square","21 Church Street, Singapore 049481",1.2843482,103.8483915,"8am-6pm: $2.20 for ½ hr or part thereof.","6pm-8am: $3.20 per entry","Charges same as wkdays but $3.20 per entry after 1pm","$3.20 per entry","-"
"Capital Tower","168 Robinson Rd, Capital Tower, Singapore 068912",1.2777366,103.8476215,"7am-6pm: $2.80 per ½ hr","Aft 6pm: $3.20 per entry","Charges same as wkdays but $3.20 per entry after 1pm","$3.20 per entry","-"
"Carlton Hotel","76 Bras Basah Road, Singapore 189558",1.2959064,103.8525424,"7am-6pm: $3 for 1st hr; $1.50 for for sub. ½ hr","Aft 6pm: $6 per entry","Same as wkdays","Same as wkdays","-"
"Carlton Hotel","76 Bras Basah Road, Singapore 189558",1.2959064,103.8525424,"7am-6pm: $3 for 1st hr; $1.50 for for sub. ½ hr","Aft 6pm: $6 per entry","Same as wkdays","Same as wkdays","-"
"Central Mall","6 Eu Tong Sen St, Singapore 059817",1.2889924,103.8467458,"6am-5pm: $2.00 for 1st hr; $1.00 for sub. ½ hr","Aft 5pm: $3.00 per entry","Same as wkdays","$3.00 per entry","-"
"Central ©","6 Eu Tong Sen St, Singapore 059817",1.2889924,103.8467458,"6am-5pm: $2.20 for 1st hr; $1.10 for sub. ½ hr or part thereof","Aft 5pm: $3.50 per entry","Same as wkdays","$3.50 per entry","-"
"Chijmes","30 Victoria Street, Singapore 187996",1.295059,103.8521521,"8am-5.59am :$2.20 for 1st hr; $0.55 for sub. 15 mins.","""6pm-5.59am: (Valet Parking Only) Valet Charge $4 per entry, Carpark charges: $4 per hr.""","Same as wkdays","Same as wkdays","-"
"China Square Central","18 Cross Street, Singapore 048423",1.283653,103.8469901,"8am-6pm: $1.80 per ½ hr or part thereof.","Aft 6pm: $3 per entry.  (12 midnight-6am: Closed)","$3 per entry. (12 midnight-6am: Closed)","Same as Saturday","-"
"Chinatown Point","133 New Bridge Rd, Singapore 059413",1.285246,103.8450159,"7am-5pm: $1.20 per ½ hr","Aft 5pm: $2.50 per entry","Same as wkdays","$2.50 per entry","-"
"Clarke Quay","3 River Valley Rd, Singapore 179024",1.2906024,103.8464742,"7am-11.59am; 3pm-4.59pm: $2.14 for 1st 2hrs; $1.07 for sub. hr (Free parking between 12pm-2.59pm)","Aft 5pm: $2.14 for 1st hr; $1.07 for sub. hr (Cap at $5.35)","7am-4.59pm: $2.14 for 1st 2hrs; $1.07 for sub. hr; Aft 5pm: $2.14 for 1st hr; $1.07 for sub. hr (Cap at $5.35)","$2.68 per entry","-"
"Clifford Centre","24 Raffles Pl, Singapore 048621",1.283857,103.852378,"6am-5pm: $5 per hr  (Car park closed at 11pm daily from Mon-Sat)","5pm-11pm: $3 per entry","Same as wkdays","Same as wkdays","-"
"Conrad Centennial Singapore","2 Temasek Blvd, Singapore 038982",1.2934379,103.8587261,"7am-6pm: $3.30 for 1st hr; $1.10 for sub.½ hr","Aft 6pm: $2.20 per entry","$2.20 for 1st 2hrs; $1.10 for sub. hr","Same as Saturday","-"
"Copthorne King's Hotel","403 Havelock Rd, Singapore 169632",1.2882482,103.8366477,"7am-12am: $3 for 1st hr; $1.50 for sub ½ hr","Aft 12am: $4 for 1st hr; $2 for sub ½ hr","Same as wkdays","Same as wkdays","-"
"Copthorne King's Hotel","403 Havelock Rd, Singapore 169632",1.2882482,103.8366477,"7am-12am: $3 for 1st hr; $1.50 for sub ½ hr","Aft 12am: $4 for 1st hr; $2 for sub ½ hr","Same as wkdays","Same as wkdays","-"
"Copthorne Orchid Hotel","Jalan Tanjung Bungah, Tanjung Bungah, 11200 George Town, MY, Malaysia",5.467071,100.292311,"""8am-5pm: $1.50 for 1st hr; $1 for sub. hr, per day $20)""","Aft 5pm: $3 per entry","Same as wkdays","Same as wkdays","-"
"Copthorne Orchid Hotel","Jalan Tanjung Bungah, Tanjung Bungah, 11200 George Town, MY, Malaysia",5.467071,100.292311,"""8am-5pm: $1.50 for 1st hr; $1 for sub. hr, per day $20)""","Aft 5pm: $3 per entry","Same as wkdays","Same as wkdays","-"
"CPF Building Robinson Road","79 Robinson Rd, CPF Building, Singapore 068897",1.277478,103.8481197,"6am-5pm: $1.50 per ½ hr","Closed at 5pm. Cars remaining from 5pm onward will be charged an additional flat rate of $5","6am-1pm : $1.50 per ½ hr. Closed at 1:00pm. Cars remaining from 1:00pm onward will be charged an additional flat rate of $5","Closed","-"
"DBS Building","6 Shenton Way, Singapore 068809",1.2778231,103.8489535,"6am-7pm: $2.57 per ½ hr","Aft 7pm: $2.57 per entry","6am-1pm: $2.57 per ½ hr; aft 1pm: $2.57 per entry","$2.57 per entry","-"
"Far East Square","45 Pekin Street, #02-01, Singapore 048775",1.2830682,103.848281,"6am-4.59pm: $2.14 per ½ hr","Aft 5pm: $3.21 per entry","$3.21 per entry","$3.21 per entry","-"
"Far Eastern Bank Building","156 Cecil St, Singapore 069544",1.2798824,103.8482219,"7am-6pm: $2.30 per ½ hr","Aft 6.30pm: $3.20 per entry","Charges same as wkdays but $3.20 per entry after 1pm","Closed","-"
"Fortune Centre","190 Middle Rd, Singapore 188979",1.300376,103.852234,"7am-7pm: $3.22 per hr","Aft 7pm: $3.21 per entry","Same as wkdays","Same as wkdays","-"
"Fu Lu Shou Complex","149 Rochor Rd, Singapore 188425",1.3015627,103.8543985,"8am-5pm: $2.40 per hr","Aft 5pm: $2.20 per entry (Car park closed at 12.30am daily)","Same as wkdays","Same as wkdays","-"
"Fullerton Hotel","1 Fullerton Square, Singapore 049178",1.2863532,103.8530671,"7am-6pm: $2.20 per ½ hr","After 6pm: $5 per entry","$5 per entry","$5 per entry","-"
"Funan DigitaLife Mall","High St, Singapore",1.2908459,103.8490816,"12am-5.59pm: $2.14 for 1st hr; $0.54 for sub. 15mins","6pm-9.59pm: $2.14 per entry","Same as wkdays","Same as wkdays","-"
"Furama City Centre Singapore","60 Eu Tong Sen Street, Singapore 059804",1.2863993,103.8447538,"5am-5pm: $1.40 for 1st ½ hr; $1.50 for sub. ½ hr","Aft 5pm: $3 per entry","Same as wkdays","$3 per entry","-"
"Furama City Centre Singapore","60 Eu Tong Sen Street, Singapore 059804",1.2863993,103.8447538,"5am-5pm: $1.40 for 1st ½ hr; $1.50 for sub. ½ hr","Aft 5pm: $3 per entry","Same as wkdays","$3 per entry","-"
"Furama Riverfront Singapore","405 Havelock Rd, Singapore 169633",1.2880788,103.8359472,"7am-5pm: $1 per ½ hr","Aft 5pm: $6 per entry","Same as wkdays","Same as wkdays","-"
"Furama Riverfront Singapore","405 Havelock Rd, Singapore 169633",1.2880788,103.8359472,"7am-5pm: $1 per ½ hr","Aft 5pm: $6 per entry","Same as wkdays","Same as wkdays","-"
"Gallery Hotel","76 Robertson Quay, Singapore",1.2902512,103.8386992,"""12pm-2pm: $3 for 1st hr; $1 for sub. ½ hr; $2 for 1st hr, $0.50 for sub. ½ hr from 2.01pm to 6.00pm for Mon-Thu""","6pm-11.59pm: $3 for 1st hr; $1 for sub. ½ hr; $2 for 1st hr; $0.50 for sub. ½ hr  from 12am-11.59am for Mon-Thu","""6am-11.59pm: $3 for 1st hr; $0.50 for sub. ½ hr, $3 for 1st hr; $0.50 for sub. ½ hr from 12am-1.59am for Fri-Sun/PH ""","$2 for 1st hr; $0.50 for sub. ½ hr from 2.01am-6am for Fri-Sun/PH","-"
"Gallery Hotel","76 Robertson Quay, Singapore",1.2902512,103.8386992,"""12pm-2pm: $3 for 1st hr; $1 for sub. ½ hr; $2 for 1st hr, $0.50 for sub. ½ hr from 2.01pm to 6.00pm for Mon-Thu""","6pm-11.59pm: $3 for 1st hr; $1 for sub. ½ hr; $2 for 1st hr; $0.50 for sub. ½ hr  from 12am-11.59am for Mon-Thu","""6am-11.59pm: $3 for 1st hr; $0.50 for sub. ½ hr, $3 for 1st hr; $0.50 for sub. ½ hr from 12am-1.59am for Fri-Sun/PH ""","$2 for 1st hr; $0.50 for sub. ½ hr from 2.01am-6am for Fri-Sun/PH","-"
"Gillman Barracks","9 Lock Rd, Singapore 108937",1.2783906,103.8043766,"$0.50 / 30 mins","From 1700: $2.00 / entry","0700-1800 - Free Parking; 1800-0700: $2/entry.","Free Parking","-"
"Golden Mile Complex","5001 Beach Road, Singapore 199588",1.3031847,103.865249,"7am-6pm: $2 for 1st hr; $1 for sub. ½ hr","Aft 6pm: $2.20 per entry","Same as wkdays","$2.20 per entry","-"
"Golden Shoe Complex","845 Geylang Rd, Singapore 400845",1.3163782,103.8943714,"7am-5pm: $2.60 per ½ hr","Aft 5pm: $3.30 per entry","Charges same as wkdays but $3.30 per entry after 1pm","$3.3 per entry","-"
"Grand Copthorne Waterfront Hotel","392 Havelock Rd, Singapore 169663",1.2902491,103.8351346,"7am-5pm: $3.75 for 1st hr; $2.14 for sub. hr","Aft 5pm: $4.28 per entry","Same as wkdays","$4.28 per entry","-"
